outlet_code,item_code,DATE,sales_qty
C,14848,4/13/2022,1
E,117745,3/31/2022,1
E,610,4/11/2022,1
D,107809,7/7/2022,3
D,529,4/13/2022,2
E,9979,4/11/2022,1
E,94948,4/27/2022,1
D,24136,5/19/2022,6
C,55879,7/7/2022,1
E,3427,6/20/2022,4
D,3292,5/29/2022,2
A,111868,10/5/2022,8
B,25081,6/9/2022,1
E,23470,4/15/2022,1
B,93895,10/3/2022,1
E,41488,10/9/2022,1
E,121957,3/10/2022,1
A,117160,2/3/2022,1
A,4705,2/3/2022,2
D,10042,2/19/2022,1
A,122686,10/14/2022,2
D,529,5/20/2022,2
D,120400,6/7/2022,1
B,41164,7/4/2022,1
E,23938,6/7/2022,1
A,14947,8/25/2022,2
D,123586,7/19/2022,1
A,23020,8/20/2022,2
B,119761,1/25/2022,1
B,41164,2/19/2022,1
A,25081,2/16/2022,1
D,9925,7/26/2022,1
C,40759,8/19/2022,2
E,19123,8/30/2022,1
A,123694,3/24/2022,7
C,124396,2/12/2022,1
B,42928,3/29/2022,1
B,322,8/18/2022,1
C,120994,8/3/2022,1
C,92572,2/14/2022,1
C,47140,5/12/2022,1
C,95443,9/3/2022,1
D,123586,6/29/2022,1
C,232,4/10/2022,1
E,110356,10/9/2022,1
C,117286,8/7/2022,2
A,4930,4/5/2022,1
C,111031,7/31/2022,2
B,111868,3/3/2022,1
D,111868,5/21/2022,1
B,40309,3/28/2022,1
C,92491,10/10/2022,1
D,43279,7/2/2022,1
A,119707,5/20/2022,1
C,93679,10/11/2022,1
C,12166,8/4/2022,1
E,115846,3/12/2022,1
D,107863,9/16/2022,2
D,2311,4/8/2022,1
C,43405,2/9/2022,1
E,93895,10/4/2022,2
B,12166,2/25/2022,1
E,113281,3/25/2022,1
E,122830,6/16/2022,1
A,106054,1/30/2022,1
A,110077,4/17/2022,1
C,111868,6/16/2022,1
E,108007,5/17/2022,1
A,142,5/8/2022,1
D,529,6/10/2022,1
C,107836,7/15/2022,2
C,11230,9/19/2022,1
A,1942,5/23/2022,1
A,94345,9/26/2022,1
E,15352,10/8/2022,1
E,113110,10/16/2022,1
B,6163,4/29/2022,3
A,4930,7/20/2022,1
E,122740,9/13/2022,1
C,14848,4/16/2022,1
E,122686,5/3/2022,1
D,9637,9/8/2022,3
A,2806,2/10/2022,1
B,95137,1/30/2022,1
B,11419,4/22/2022,1
A,2806,4/25/2022,6
C,45043,8/11/2022,1
A,23371,5/9/2022,1
A,123730,10/11/2022,4
D,117376,4/13/2022,1
A,94345,1/27/2022,1
A,7450,4/13/2022,3
E,13795,4/20/2022,1
B,12166,7/19/2022,1
E,117196,5/29/2022,1
B,6163,10/11/2022,4
D,10213,8/7/2022,1
C,23371,3/29/2022,3
C,108862,9/6/2022,2
A,104254,9/22/2022,1
A,40201,3/24/2022,2
E,117925,4/16/2022,1
B,117610,2/14/2022,1
B,13633,4/30/2022,1
D,10105,4/16/2022,1
C,94453,4/10/2022,1
C,108862,7/27/2022,1
E,110356,5/30/2022,1
A,232,4/2/2022,2
B,113281,4/2/2022,3
C,45412,4/10/2022,2
A,124414,10/2/2022,1
C,42685,3/3/2022,10
B,115846,9/17/2022,1
B,116836,6/1/2022,6
A,117286,7/10/2022,3
B,2806,4/12/2022,4
B,111337,4/29/2022,1
A,9979,7/18/2022,4
C,110122,2/2/2022,2
D,5002,8/7/2022,2
C,122686,8/31/2022,3
E,102769,7/27/2022,2
A,1852,4/17/2022,1
A,57058,3/14/2022,2
A,10654,3/20/2022,1
C,93913,10/11/2022,1
C,14848,8/2/2022,1
A,10366,3/17/2022,1
A,43405,9/12/2022,3
B,30688,5/29/2022,1
E,107269,6/28/2022,1
B,25000,2/10/2022,2
A,46150,10/18/2022,2
D,8800,6/1/2022,1
D,111337,7/1/2022,1
E,92482,8/22/2022,1
E,117925,9/29/2022,1
E,102490,3/20/2022,1.011999965
C,117187,9/6/2022,1
D,39238,5/29/2022,1
E,1852,4/19/2022,1
E,119554,4/20/2022,1
E,119707,6/6/2022,1
A,99250,4/28/2022,1
D,11419,3/1/2022,1
D,1204,3/16/2022,1
C,538,3/31/2022,1
A,107224,6/27/2022,1
D,322,7/9/2022,1
E,117286,6/28/2022,1
D,43738,6/16/2022,2
D,4705,9/13/2022,1
A,95443,7/17/2022,1
B,529,3/20/2022,1
D,610,6/5/2022,1
B,23911,2/1/2022,1
C,123667,4/4/2022,1
C,111337,5/18/2022,1
E,92482,8/31/2022,2
C,43405,5/8/2022,1
B,295,3/20/2022,1
B,94453,7/25/2022,1
D,1933,2/28/2022,1
D,27790,8/6/2022,1
A,117160,10/12/2022,1
A,14848,8/17/2022,2
A,123694,9/19/2022,1
C,7054,3/15/2022,1
A,10213,7/24/2022,1
D,19114,5/7/2022,1
B,40381,8/22/2022,6
C,102490,8/9/2022,9.200000167
C,10366,2/11/2022,1
B,259,5/12/2022,3
A,13948,5/19/2022,2
D,110077,3/13/2022,1
D,10636,10/13/2022,1
C,113110,4/24/2022,1
C,110806,9/3/2022,1
B,108007,3/30/2022,1
A,4165,6/17/2022,1
D,44989,2/10/2022,1
E,92482,8/14/2022,2
E,23146,5/2/2022,2
E,117925,9/7/2022,1
C,304,2/25/2022,1
E,101635,8/8/2022,1
A,122803,5/21/2022,1
B,110230,3/1/2022,2
D,45421,4/10/2022,1
D,112219,3/8/2022,1
D,11419,7/14/2022,1
A,95119,6/25/2022,2
D,25081,1/30/2022,4
B,30778,3/22/2022,1
E,43738,8/10/2022,1
D,23785,8/23/2022,1
C,107224,2/14/2022,1
C,110860,9/11/2022,1
E,120994,7/25/2022,1
A,105622,5/15/2022,1
A,121129,6/18/2022,1
D,1681,3/9/2022,5
C,93679,6/12/2022,1
D,41632,5/4/2022,1
A,40201,9/4/2022,2
A,10636,5/12/2022,3
B,12670,2/21/2022,1
B,110122,3/8/2022,1
A,95443,5/4/2022,1
D,4741,3/3/2022,1
A,7396,3/10/2022,1
E,29941,7/5/2022,1
B,9925,3/31/2022,1
E,110860,7/30/2022,1
A,3292,7/23/2022,1
D,14848,6/8/2022,1
A,64816,8/15/2022,7
C,4930,6/21/2022,1
A,7396,3/19/2022,1
D,40201,4/1/2022,1
B,112219,5/12/2022,1
B,120400,7/15/2022,1
D,718,6/14/2022,1
D,106054,7/5/2022,1
D,123667,7/26/2022,2
A,123667,6/15/2022,2
C,23785,3/9/2022,1
E,45421,10/15/2022,2
E,96136,8/14/2022,2.179999948
D,95443,2/1/2022,1
D,12355,5/18/2022,2
D,97486,6/18/2022,2
C,45421,7/20/2022,6
B,44989,4/7/2022,1
D,117358,6/15/2022,1
A,4930,5/2/2022,2
E,123586,4/2/2022,1
B,40381,1/26/2022,3
D,95119,2/15/2022,2
A,952,7/8/2022,1
C,7108,3/5/2022,1
A,95443,5/28/2022,1
C,115846,2/3/2022,1
E,4705,5/27/2022,3
A,111868,7/18/2022,1
D,40309,7/1/2022,1
B,108862,10/11/2022,1
C,110338,2/5/2022,1
A,12220,5/24/2022,2
A,92491,7/23/2022,2
C,29941,7/21/2022,34
C,121921,2/5/2022,1
C,111868,1/24/2022,1
A,12220,8/11/2022,1
E,10924,4/19/2022,2
A,41488,6/1/2022,1
D,95119,10/9/2022,1
D,322,6/4/2022,1
B,41488,2/6/2022,1
B,111976,2/17/2022,1
C,96136,6/2/2022,0.736000001
B,111382,10/4/2022,1
C,4705,7/10/2022,2
A,27583,4/4/2022,1
A,23911,9/11/2022,2
A,110860,9/14/2022,1
A,40939,10/14/2022,1
C,4930,8/30/2022,1
D,94876,1/29/2022,1
A,3526,5/7/2022,2
C,123703,6/2/2022,1
C,111337,5/2/2022,1
E,1672,10/1/2022,2
A,41164,2/13/2022,2
B,121714,6/4/2022,2
B,114658,5/1/2022,1
D,110860,9/5/2022,1
C,10375,6/21/2022,1
C,11230,9/4/2022,1
B,110230,4/20/2022,1
A,3328,2/10/2022,2
C,122830,5/30/2022,1
C,10654,3/1/2022,1
C,94336,3/19/2022,1
E,120994,9/23/2022,2
D,120499,3/13/2022,2
E,7072,5/7/2022,1
A,45421,1/22/2022,6
D,124414,8/10/2022,1
C,529,9/5/2022,1
D,10636,5/6/2022,1
D,105622,5/14/2022,1
C,101149,7/11/2022,3
C,57058,4/18/2022,1
B,1672,7/10/2022,4
D,120994,10/13/2022,1
D,41632,5/6/2022,1
D,45421,2/11/2022,1
C,94948,1/29/2022,1
C,111985,7/17/2022,1
B,46150,4/27/2022,2
A,5551,4/6/2022,3
D,101635,8/5/2022,3
C,27583,9/5/2022,2
B,16000,5/6/2022,1
D,121039,8/5/2022,2
B,99457,6/9/2022,1
A,40939,5/24/2022,1
A,41686,10/7/2022,1
A,110860,6/19/2022,1
C,122686,8/30/2022,15
E,121174,6/8/2022,1
A,1672,6/3/2022,2
D,25000,1/26/2022,1
C,113281,5/1/2022,1
A,107809,10/9/2022,1
C,1132,5/14/2022,2
C,108862,9/11/2022,1
B,529,3/18/2022,2
C,13948,6/17/2022,1
D,108862,10/5/2022,1
B,117187,6/15/2022,1
C,41686,4/9/2022,2
B,15658,8/29/2022,1
D,13948,4/11/2022,1
B,1933,2/6/2022,1
D,98584,4/15/2022,1
B,123478,7/18/2022,1
A,110230,2/7/2022,1
C,99250,3/20/2022,2
B,3679,4/7/2022,1
B,121174,9/14/2022,1
B,57976,10/7/2022,1
E,121174,5/1/2022,2
E,117745,9/15/2022,1
A,118429,3/13/2022,1
C,107836,9/2/2022,3
B,64816,5/21/2022,1
C,94453,8/10/2022,1
A,23020,3/2/2022,3
C,2806,2/7/2022,3
C,111976,4/30/2022,2
C,40201,6/2/2022,1
D,110320,4/14/2022,3
D,101941,7/4/2022,1
B,115846,3/22/2022,2
C,117160,7/29/2022,1
A,27790,9/4/2022,1
B,12355,6/18/2022,3
B,123478,6/22/2022,1
A,39238,6/29/2022,1
D,93679,3/18/2022,1
A,97486,3/23/2022,1
D,45412,4/5/2022,1
D,94948,4/19/2022,1
B,41686,3/22/2022,1
C,57058,9/7/2022,1
E,24136,6/1/2022,1
D,8800,3/16/2022,2
C,113110,7/28/2022,1
D,3328,4/29/2022,2
A,101635,3/2/2022,1
C,4165,6/8/2022,1
C,43135,9/26/2022,2
D,10195,6/5/2022,1
E,3292,4/17/2022,1
B,64816,1/30/2022,1
E,95119,6/3/2022,2
B,9979,5/8/2022,3
D,123694,8/22/2022,4
C,14947,5/28/2022,4
A,44989,9/28/2022,1
C,111004,10/6/2022,2
B,47140,4/20/2022,1
A,102769,3/14/2022,10
C,98584,4/1/2022,1
A,64816,8/26/2022,3
D,117376,4/6/2022,1
C,101941,6/29/2022,2
E,119185,5/29/2022,1
A,538,8/4/2022,2
A,1204,2/20/2022,1
A,123478,2/26/2022,2
A,10591,4/16/2022,1
D,110671,9/10/2022,1
E,7396,8/17/2022,1
E,102490,8/20/2022,1.006000042
B,19114,8/13/2022,1
B,96136,3/3/2022,2.194000006
A,10609,6/4/2022,4
D,101941,4/1/2022,1
D,102769,8/24/2022,1
B,1681,6/19/2022,2
A,117745,8/3/2022,2
D,12031,3/3/2022,2
D,107863,7/20/2022,2
C,108007,6/29/2022,1
B,23371,3/21/2022,1
C,27790,9/24/2022,1
A,295,5/13/2022,1
A,117160,9/29/2022,1
A,122803,9/11/2022,7
C,12814,4/12/2022,1
B,123478,2/28/2022,1
C,110356,8/31/2022,1
B,223,5/26/2022,1
C,116836,9/2/2022,1
A,23938,9/28/2022,1
A,10375,9/8/2022,1
A,123478,3/10/2022,1
A,4165,3/29/2022,1
D,93913,4/13/2022,2
B,6163,2/20/2022,1
E,110878,8/17/2022,1
E,2806,7/15/2022,1
D,102967,1/28/2022,1
A,610,8/25/2022,1
E,3328,7/28/2022,1
B,13795,8/26/2022,2
D,6640,5/15/2022,1
C,57058,9/19/2022,1
B,45421,8/20/2022,1
C,43405,3/31/2022,1
A,3328,5/31/2022,2
A,41488,6/3/2022,1
E,123586,9/20/2022,1
B,123694,7/15/2022,2
B,118033,7/3/2022,1
B,92482,5/8/2022,2
A,2806,1/28/2022,4
C,110671,2/25/2022,2
A,120400,9/4/2022,1
E,610,7/1/2022,1
E,11230,4/13/2022,3
B,107836,10/6/2022,2
E,111382,8/31/2022,3
E,9637,5/27/2022,1
A,42928,3/31/2022,1
D,23371,6/9/2022,1
B,110860,3/1/2022,1
A,123586,2/23/2022,1
A,718,3/17/2022,2
A,232,7/25/2022,1
A,93913,5/22/2022,1
E,10375,6/30/2022,1
C,94453,4/11/2022,1
C,5551,5/27/2022,1
C,27979,3/20/2022,1
E,952,3/22/2022,3
E,120418,7/15/2022,1
A,123694,8/13/2022,1
B,57976,2/21/2022,1
A,12220,1/31/2022,1
D,3940,6/13/2022,1
A,10852,10/17/2022,1
A,95119,6/8/2022,1
A,108007,4/6/2022,1
B,122803,8/17/2022,1
B,5551,10/6/2022,1
C,295,2/18/2022,2
C,223,7/16/2022,2
E,11842,4/19/2022,1
E,124414,7/9/2022,2
A,102769,8/31/2022,1
D,9979,8/6/2022,4
D,45421,9/29/2022,1
B,124396,4/20/2022,1
A,117187,7/26/2022,1
C,718,5/28/2022,2
E,23911,9/20/2022,1
A,2977,5/16/2022,3
B,10924,1/25/2022,1
A,102967,5/24/2022,4
D,4732,7/16/2022,1
A,51109,5/13/2022,1
D,30778,4/16/2022,1
E,121174,3/22/2022,2
E,110356,4/2/2022,1
B,45115,1/27/2022,1
B,122740,9/27/2022,1
B,110122,3/3/2022,1
D,10654,6/4/2022,1
D,304,8/14/2022,2
A,39238,9/22/2022,1
C,9979,10/9/2022,1
D,120400,3/10/2022,1
C,46150,4/26/2022,1
A,117376,7/30/2022,1
C,44989,5/31/2022,3
C,11230,6/11/2022,1
C,123667,7/31/2022,1
C,111868,2/10/2022,7
E,110320,6/10/2022,1
C,102967,4/28/2022,1
A,4732,8/31/2022,1
B,45115,4/5/2022,1
C,9979,1/29/2022,1
A,92482,9/11/2022,4
D,18223,9/21/2022,2
B,94453,2/19/2022,1
B,4741,3/19/2022,1
B,13948,9/27/2022,1
D,30454,1/30/2022,1
D,10375,9/28/2022,1
E,12670,3/14/2022,1
C,14947,4/30/2022,1
B,304,2/23/2022,1
A,124414,9/8/2022,1
A,4480,9/25/2022,1
B,95137,8/15/2022,1
D,5551,3/2/2022,1
D,108862,8/17/2022,1
A,538,6/29/2022,1
D,13948,2/22/2022,1
C,10060,2/1/2022,1
C,117358,9/13/2022,1
D,123730,4/7/2022,2
C,64816,10/13/2022,3
A,75463,3/31/2022,2
C,117736,4/2/2022,1
A,2806,6/30/2022,4
E,4480,9/26/2022,1
D,10375,9/16/2022,1
C,111337,2/20/2022,1
A,40201,8/24/2022,1
D,45043,1/27/2022,1
B,120418,10/14/2022,1
A,10591,7/6/2022,1
C,97486,9/7/2022,1
C,31579,6/11/2022,1
A,110077,7/22/2022,1
B,123586,8/23/2022,1
D,117376,1/29/2022,1
A,673,7/2/2022,1
A,23146,9/17/2022,1
E,12220,10/3/2022,1
D,123478,8/4/2022,1
B,117196,9/21/2022,1
B,27790,3/25/2022,1
C,118033,2/6/2022,1
A,23020,8/13/2022,3
E,94948,6/24/2022,2
A,116962,6/18/2022,2
D,1186,10/10/2022,1
B,11581,2/21/2022,1
B,96775,7/17/2022,1
D,110122,6/19/2022,1
C,123478,4/6/2022,1
D,1186,6/9/2022,1
D,117187,8/15/2022,2
B,88,4/10/2022,2
D,14848,2/8/2022,1
A,75463,7/28/2022,1
D,43405,5/27/2022,1
C,1231,2/27/2022,1
C,42658,1/29/2022,1
E,57058,9/29/2022,1
A,9925,6/27/2022,3
B,93913,2/13/2022,1
C,23938,3/14/2022,1
C,8800,6/25/2022,3
C,117925,8/27/2022,1
D,4705,5/14/2022,1
C,6640,8/14/2022,1
E,3679,6/14/2022,1
A,117196,3/10/2022,1
C,27790,7/19/2022,1
D,123307,4/13/2022,1
C,2806,1/25/2022,1
B,41164,4/16/2022,1
A,14947,7/3/2022,4
E,223,3/27/2022,1
E,1681,6/19/2022,1
B,93679,9/17/2022,1
B,3292,2/23/2022,4
E,3679,6/12/2022,2
B,123667,7/24/2022,1
A,45115,2/6/2022,1
D,110230,7/2/2022,1
C,57058,4/14/2022,1
B,107809,6/7/2022,1
A,97531,6/7/2022,1
C,111868,3/10/2022,3
C,610,6/15/2022,1
B,223,1/22/2022,1
B,100042,6/7/2022,1
E,1186,9/23/2022,1
B,110806,5/23/2022,1
C,4480,2/19/2022,1
B,4480,6/24/2022,1
E,121714,7/26/2022,1
B,223,4/29/2022,1
A,25000,6/24/2022,1
A,12355,7/6/2022,1
D,110338,7/2/2022,1
A,110356,7/27/2022,1
C,10852,5/19/2022,1
C,108862,3/13/2022,1
B,57058,6/21/2022,1
C,29941,3/21/2022,2
E,120994,6/26/2022,1
A,41686,8/27/2022,1
D,107863,9/22/2022,6
C,121291,9/21/2022,1
E,6163,5/9/2022,2
E,46150,6/15/2022,1
A,10375,9/3/2022,1
A,117160,9/3/2022,1
D,24136,6/9/2022,1
C,121957,5/4/2022,2
A,124414,9/29/2022,3
E,23785,8/10/2022,1
A,124414,3/17/2022,1
E,42928,9/7/2022,1
E,10591,7/28/2022,1
A,10636,5/17/2022,1
A,1852,10/12/2022,3
B,9925,4/20/2022,1
A,119761,4/23/2022,1
D,41686,5/17/2022,1
C,100501,3/23/2022,2
E,122767,3/17/2022,1
D,538,1/25/2022,1
B,10375,1/22/2022,1
B,92482,2/15/2022,4
E,46150,4/19/2022,2
D,15352,9/24/2022,1
B,6163,6/6/2022,2
B,116062,7/9/2022,1
C,23371,3/7/2022,1
B,92482,3/26/2022,5
C,41686,3/26/2022,1
B,55879,10/10/2022,1
E,39238,9/8/2022,1
D,55906,2/13/2022,1
A,3283,4/17/2022,2
C,30778,3/10/2022,3
C,112219,4/13/2022,1
C,111337,6/7/2022,1
B,55879,2/22/2022,1
B,107863,9/13/2022,1
A,31579,8/21/2022,1
E,9628,8/11/2022,1
C,1951,7/27/2022,1
E,10654,4/4/2022,6
D,122686,10/5/2022,4
D,41686,6/4/2022,1
B,108862,6/11/2022,1
D,111985,6/18/2022,1
C,95137,2/1/2022,3
E,75463,8/29/2022,1
E,117736,10/16/2022,1
E,11509,9/25/2022,1
A,1681,3/16/2022,2
B,92491,4/11/2022,2
D,12247,2/1/2022,1
B,23911,9/3/2022,1
B,13795,6/21/2022,6
E,1132,9/22/2022,2
B,122740,2/21/2022,1
A,123667,2/24/2022,1
A,9637,4/19/2022,3
C,7396,3/13/2022,4
C,12247,3/20/2022,1
D,117160,4/6/2022,1
D,10042,5/23/2022,1
D,93679,7/21/2022,1
D,101671,8/27/2022,2
C,41686,7/31/2022,4
A,13948,10/13/2022,2
A,117610,4/28/2022,1
B,25081,2/9/2022,1
E,113281,4/20/2022,1
E,43738,5/28/2022,1
A,99457,7/9/2022,1
E,29896,4/24/2022,1
A,44989,8/15/2022,2
B,110806,10/6/2022,1
A,93679,2/5/2022,1
C,92482,2/4/2022,4
C,93895,8/7/2022,1
C,116962,10/16/2022,1
E,12220,10/8/2022,1
C,9637,3/21/2022,1
E,23911,6/11/2022,1
D,94345,2/20/2022,1
A,117286,8/17/2022,1
B,268,10/8/2022,1
D,1132,9/30/2022,1
C,41488,2/2/2022,1
A,6640,6/19/2022,1
E,110320,4/18/2022,2
E,304,6/8/2022,1
D,96775,10/17/2022,1
C,43279,5/2/2022,1
D,57976,3/7/2022,4
C,4732,6/4/2022,2
E,117358,4/18/2022,1
A,111382,5/6/2022,1
D,105622,8/14/2022,2
B,118429,6/26/2022,1
C,10375,10/8/2022,1
B,116962,3/4/2022,1
E,1681,9/9/2022,1
A,44989,9/12/2022,1
C,104254,9/23/2022,1
B,95119,5/1/2022,1
B,108412,8/15/2022,1
A,111976,4/30/2022,1
C,57058,9/9/2022,2
A,13741,1/29/2022,2
B,1681,8/20/2022,1
D,529,2/2/2022,1
D,108862,9/5/2022,2
A,113110,8/27/2022,1
B,6856,10/15/2022,1
D,123667,7/21/2022,2
D,119707,6/1/2022,1
A,142,9/1/2022,1
D,2977,7/5/2022,1
A,25000,7/14/2022,1
C,12031,6/23/2022,1
B,123586,6/13/2022,1
A,121039,5/18/2022,2
A,123667,7/29/2022,1
C,3283,5/2/2022,1
D,31579,9/24/2022,1
B,118096,4/28/2022,1
A,12166,5/14/2022,1
A,9979,2/1/2022,1
E,120418,3/13/2022,2
B,41686,10/13/2022,1
A,124396,6/7/2022,1
A,781,8/19/2022,1
B,123667,2/25/2022,2
E,117736,7/1/2022,4
E,76399,7/31/2022,6
E,3679,9/29/2022,1
B,23938,7/15/2022,2
C,110077,2/6/2022,1
C,1231,4/8/2022,2
E,122803,8/30/2022,2
E,93913,8/12/2022,1
B,10654,4/6/2022,1
E,55879,4/22/2022,1
C,1204,6/2/2022,10
A,41686,5/18/2022,1
B,124414,2/21/2022,1
A,107269,4/2/2022,1
A,117745,4/6/2022,1
A,19114,7/17/2022,1
B,117376,7/3/2022,1
C,91438,5/13/2022,1
E,10654,10/3/2022,2
E,117745,3/25/2022,1
D,23785,10/17/2022,1
B,110806,2/10/2022,1
D,122740,3/3/2022,1
B,1186,6/8/2022,1
A,112219,2/17/2022,1
C,3679,6/22/2022,4
E,113281,8/3/2022,1
D,111976,2/7/2022,2
C,45484,3/3/2022,4
D,10105,9/13/2022,1
E,10366,5/31/2022,1
C,313,4/9/2022,8
D,4741,6/15/2022,2
D,30778,8/18/2022,1
C,107224,10/17/2022,1
E,29653,5/24/2022,4
E,92491,5/28/2022,1
C,93895,7/3/2022,1
E,117196,9/26/2022,1
E,259,6/3/2022,1
B,610,7/11/2022,1
A,111976,4/24/2022,1
A,107836,9/16/2022,1
A,1942,7/7/2022,1
C,23137,4/18/2022,1
D,46591,5/4/2022,1
A,57976,8/27/2022,2
B,7396,3/13/2022,1
C,120499,9/23/2022,2
B,3526,7/8/2022,1
A,40201,2/6/2022,1
A,107809,2/27/2022,1
D,43279,7/4/2022,1
B,30454,3/17/2022,1
E,313,7/8/2022,1
C,106054,8/9/2022,1
A,51109,6/9/2022,2
E,102967,4/12/2022,1
D,529,3/31/2022,1
A,122686,8/25/2022,1
B,94453,8/26/2022,1
C,112219,8/11/2022,2
E,7396,4/13/2022,4
D,232,1/24/2022,1
C,117358,8/23/2022,1
A,107863,2/28/2022,2
A,9628,10/3/2022,1
B,9979,7/31/2022,1
C,9925,2/25/2022,1
C,111004,5/27/2022,1
E,11293,4/19/2022,3
A,55879,2/7/2022,2
D,10636,7/7/2022,2
C,44989,7/3/2022,1
B,123703,5/22/2022,4
C,88,6/17/2022,1
A,11842,9/25/2022,1
B,110122,2/26/2022,1
C,121714,4/10/2022,2
B,12220,4/15/2022,2
E,120418,5/21/2022,1
D,10591,2/18/2022,1
D,30778,2/15/2022,1
D,23146,3/2/2022,1
D,1132,5/21/2022,2
D,123478,4/25/2022,1
D,120418,6/11/2022,2
C,118033,7/29/2022,1
C,118033,10/16/2022,1
E,6163,9/2/2022,5
B,123334,2/12/2022,1
E,11230,7/20/2022,1
E,117358,10/18/2022,1
A,304,3/11/2022,1
C,94336,10/16/2022,1
A,64816,7/23/2022,2
D,122830,6/19/2022,2
D,6856,8/31/2022,4
A,75463,7/12/2022,2
E,10078,8/10/2022,1
B,94948,3/19/2022,1
B,3292,5/14/2022,2
A,122686,10/13/2022,1
C,101635,1/28/2022,2
C,108043,2/5/2022,1
B,101635,4/14/2022,1
C,529,4/20/2022,2
D,43738,2/12/2022,2
D,41488,5/17/2022,1
B,57058,7/20/2022,1
A,117160,4/9/2022,1
D,673,9/26/2022,1
D,119779,1/31/2022,2
D,12670,3/17/2022,1
C,42928,5/1/2022,1
D,23146,4/22/2022,1
B,123730,10/5/2022,2
A,7054,7/2/2022,1
D,108862,7/23/2022,3
A,124396,8/20/2022,1
C,121714,2/26/2022,3
A,1852,2/18/2022,1
B,259,6/1/2022,1
B,121714,3/16/2022,1
B,4741,3/26/2022,1
A,94876,4/27/2022,2
C,10609,7/26/2022,1
E,76399,6/26/2022,6
C,97486,5/20/2022,1
A,41488,8/31/2022,2
D,117196,9/15/2022,1
A,4732,7/24/2022,1
C,3292,6/17/2022,1
D,10078,4/21/2022,1
E,96136,4/30/2022,7.518000126
E,5551,9/30/2022,1
D,3292,5/25/2022,3
C,101635,8/8/2022,1
B,122803,9/4/2022,1
D,44989,2/27/2022,1
A,13003,2/2/2022,1
D,31579,8/19/2022,1
C,97531,6/21/2022,1
B,1681,7/10/2022,1
A,27790,8/9/2022,1
A,93895,4/4/2022,1
C,7396,3/12/2022,1
C,24136,8/30/2022,1
D,9628,3/18/2022,2
D,10375,4/21/2022,1
A,119185,6/10/2022,1
C,19123,9/17/2022,1
B,94948,2/16/2022,6
B,9628,3/11/2022,1
C,122830,1/27/2022,2
D,10852,3/13/2022,1
A,46150,2/11/2022,2
C,101941,9/13/2022,1
B,117745,3/26/2022,3
B,3292,7/22/2022,1
A,259,8/18/2022,1
B,10852,3/31/2022,1
A,64816,2/5/2022,1
A,12031,5/25/2022,1
C,123730,6/10/2022,2
C,25081,7/7/2022,1
C,313,8/17/2022,1
E,110320,9/18/2022,1
A,111985,4/9/2022,1
C,23137,1/27/2022,1
A,10213,2/9/2022,1
A,111976,3/11/2022,1
D,110077,7/8/2022,1
C,40201,4/24/2022,1
A,1132,8/19/2022,3
B,6640,5/20/2022,1
B,107809,4/18/2022,3
B,673,9/23/2022,1
C,10105,8/20/2022,1
A,10852,8/29/2022,1
A,1231,4/13/2022,1
C,117286,3/9/2022,1
B,2977,3/13/2022,4
A,121714,7/22/2022,1
B,95443,4/29/2022,1
A,313,4/21/2022,4
C,107836,2/9/2022,2
C,58804,10/5/2022,2
B,45115,5/25/2022,1
E,122785,3/10/2022,1
C,95137,8/18/2022,1
D,4597,4/2/2022,1
D,4930,6/1/2022,1
D,106054,6/28/2022,1
E,111868,6/6/2022,1
E,36808,7/27/2022,1
A,93679,3/21/2022,1
B,113281,3/30/2022,1
A,10591,2/20/2022,1
D,119761,3/26/2022,1
D,27790,6/20/2022,1
C,10654,3/25/2022,1
A,95443,5/1/2022,1
A,107809,6/28/2022,1
B,119707,5/8/2022,1
D,45043,7/6/2022,1
A,10636,4/11/2022,1
B,3652,10/10/2022,1
E,42154,4/11/2022,5.015999794
D,12670,2/12/2022,6
D,31579,7/5/2022,1
D,120418,8/2/2022,1
B,1681,7/16/2022,2
A,4705,8/9/2022,1
B,94948,4/9/2022,1
B,9979,2/10/2022,2
E,99457,7/16/2022,1
A,99457,5/26/2022,1
B,44989,2/20/2022,1
A,10375,10/12/2022,2
E,111868,4/8/2022,1
E,13795,6/2/2022,2
D,57058,7/26/2022,1
C,7054,3/29/2022,1
B,117286,4/1/2022,1
A,43279,2/23/2022,1
C,2806,4/5/2022,2
E,9628,9/8/2022,1
A,124414,6/1/2022,1
B,13795,3/21/2022,1
B,6856,6/25/2022,2
A,3427,10/13/2022,1
A,106054,8/30/2022,1
A,111148,9/16/2022,1
D,12031,3/2/2022,1
D,27583,4/9/2022,1
D,123730,6/26/2022,2
A,11842,10/11/2022,1
B,27790,6/11/2022,1
E,76399,9/2/2022,1
B,94336,3/25/2022,1
E,6856,3/28/2022,1
B,120994,9/28/2022,1
E,30778,6/28/2022,1
A,29653,9/21/2022,1
B,97486,8/27/2022,1
C,124414,2/7/2022,1
A,112219,3/25/2022,1
E,10105,5/21/2022,1
C,117745,10/18/2022,1
A,4930,2/13/2022,1
A,529,7/7/2022,1
D,12040,3/1/2022,1
E,4705,8/14/2022,1
A,1672,5/29/2022,2
B,304,3/9/2022,2
D,466,1/22/2022,1
D,10852,5/21/2022,1
C,119185,2/6/2022,1
C,117187,2/14/2022,1
C,92491,8/18/2022,4
A,95443,9/7/2022,1
A,117196,7/22/2022,1
